fid,mylevel,plz_name,plz_code,krs_code,lan_name,lan_code,krs_name,ZIP_3,CatchArea,ClassArea,Percentage,Joined lay,ZIP3_ID,CatchArea3,ClassArea3
59,1,Neuhemsbach,"67680","07335",Rheinland-Pfalz,"07",Landkreis Kaiserslautern,"676",6577115.88172303,354774.309622281,5.39407114002894,"676",451,265957459.9,40490990.4138694
60,1,Kirchheimbolanden,"67292","07333",Rheinland-Pfalz,"07",Landkreis Donnersbergkreis,"672",26309310.58911,4684563.05892074,17.8057233505,"672",470,53764622.03,6461054.70303691
61,1,Wiefelstede,"26215","03451",Niedersachsen,"03",Landkreis Ammerland,"262",106643038.638341,7424356.38833625,6.96187625852871,"262",799,106722953.7,7424356.38833625
62,1,Lünen,"44536","05978",Nordrhein-Westfalen,"05",Kreis Unna,"445",18112448.2047339,7527077.65123016,41.5574833735776,"445",329,59261782.03,24802695.3236907
63,1,Dortmund,"44339","05913",Nordrhein-Westfalen,"05",Kreisfreie Stadt Dortmund,"443",20774663.404134,8264000.65918854,39.7792276987943,"443",336,140076259.8,64184523.1385106
64,1,Dellfeld,"66503","07340",Rheinland-Pfalz,"07",Landkreis Südwestpfalz,"665",7250151.93865996,748042.013214267,10.3176046452969,"665",253,36279295.25,2849284.54060508
65,1,Horhausen (Westerwald),"56593","07132",Rheinland-Pfalz,"07",Landkreis Altenkirchen (Westerwald),"565",17763241.1590795,2151399.88546329,12.1115277679132,"565",350,241608191.6,41705901.9841554
66,1,Emmelshausen,"56281","07140",Rheinland-Pfalz,"07",Landkreis Rhein-Hunsrück-Kreis,"562",25996883.2480671,2859491.84113167,10.9993640924024,"562",364,97487656.14,4999876.08600516
67,1,Nortmoor,"26845","03457",Niedersachsen,"03",Landkreis Leer,"268",15188972.5211453,1313125.76254325,8.6452573451903,"268",784,1222496184,109638069.921115
68,1,Steinfurt,"48565","05566",Nordrhein-Westfalen,"05",Kreis Steinfurt,"485",111633364.552208,11622271.9130131,10.4111095814707,"485",194,111681004.6,11622271.9130131
69,1,Großheide,"26532","03452",Niedersachsen,"03",Landkreis Aurich,"265",69335932.4781881,4586214.58173999,6.61448460822639,"265",789,445440944.6,35261812.7995526
70,1,Hornbach,"66500","07340",Rheinland-Pfalz,"07",Landkreis Südwestpfalz,"665",17763558.3858606,1032785.85411351,5.81407076036966,"665",251,17785589.64,1032785.85411351
71,1,Leutesdorf,"56599","07138",Rheinland-Pfalz,"07",Landkreis Neuwied,"565",10539805.9650445,679959.037991294,6.45134303464783,"565",350,241608191.6,41705901.9841554
72,1,Saffig,"56648","07137",Rheinland-Pfalz,"07",Landkreis Mayen-Koblenz,"566",6971011.91966586,1266151.86021825,18.1630999173351,"566",349,190307815.4,32007301.8341818
73,1,Freisen,"66629","10046",Saarland,"10",Landkreis St. Wendel,"666",47947985.0180132,3859277.22156624,8.04888301378334,"666",249,872132061.4,84557447.7538396
74,1,Rhede (Ems),"26899","03454",Niedersachsen,"03",Landkreis Emsland,"268",74907709.2667454,3059216.24300305,4.08398050474247,"268",784,1222496184,109638069.921115
75,1,Erfurt,"99085","16051",Thüringen,"16",Kreisfreie Stadt Erfurt,"990",11370411.037282,5197152.16538195,45.7076894436022,"990",1158,269586835,64413174.2488085
76,1,Dömitz,"19303","13076",Mecklenburg-Vorpommern,"13",Landkreis Ludwigslust-Parchim,"193",138277930.745151,4006684.78587578,2.89755911466464,"193",762,681624535,20619476.3016182
77,1,Kottgeisering,"82288","09179",Bayern,"09",Landkreis Fürstenfeldbruck,"822",8264473.01887684,695121.362306688,8.41095809398815,"822",19,600528810.6,64993375.4244638
78,1,Ebermannstadt,"91320","09474",Bayern,"09",Landkreis Forchheim,"913",49974392.6377569,2231131.99583709,4.46455049891175,"913",895,802332037.5,47956046.5532962
79,1,Eberfing,"82390","09190",Bayern,"09",Landkreis Weilheim-Schongau,"823",25983699.5187786,650038.199574925,2.50171535083038,"823",17,664952639.2,50588371.6041133
80,1,Seeland,"06466","15089",Sachsen-Anhalt,"15",Landkreis Salzlandkreis,"064",15193479.0460117,1839332.6291006,12.10606618491,"064",687,938321618.4,78666788.9944508
81,1,Wonsees,"96197","09477",Bayern,"09",Landkreis Kulmbach,"961",36872914.5718306,851558.672236845,2.30944226168495,"961",58,1780838645,75463259.4662444
82,1,Waischenfeld,"91344","09472",Bayern,"09",Landkreis Bayreuth,"913",57239951.6110278,913270.723463038,1.59551274548438,"913",895,802332037.5,47956046.5532962
83,1,Schnaittach,"91220","09574",Bayern,"09",Landkreis Nürnberger Land,"912",49296501.884032,3165367.89651913,6.42108014878121,"912",897,1047250021,47642142.7778065
84,1,Weimar,"99425","16055",Thüringen,"16",Kreisfreie Stadt Weimar,"994",32074721.3089556,7309986.76593717,22.7904919126955,"994",1147,522838135.6,34303493.4175021
85,1,Bergkirchen,"85232","09174",Bayern,"09",Landkreis Dachau,"852",60044227.041832,3524731.1489071,5.87022487016357,"852",1004,876345930.5,62865035.3192646
86,1,Kinding,"85125","09176",Bayern,"09",Landkreis Eichstätt,"851",57071741.5655964,1882542.09644351,3.29855379352631,"851",1005,582987169.1,26012087.2794815
87,1,Mainleus,"95336","09477",Bayern,"09",Landkreis Kulmbach,"953",49423636.1996025,3243167.3526909,6.56197641871802,"953",156,521323257.4,29817512.6206234
88,1,Kochel a. See,"82431","09173",Bayern,"09",Landkreis Bad Tölz-Wolfratshausen,"824",43922994.998447,2048695.12049844,4.66428830859754,"824",13,1159161160,35544009.0620458
89,1,Puchheim,"82178","09179",Bayern,"09",Landkreis Fürstenfeldbruck,"821",13232047.5639602,4492432.54050251,33.9511516927919,"821",20,79712635.8,27543420.7779832
90,1,Reichenschwand,"91244","09574",Bayern,"09",Landkreis Nürnberger Land,"912",6854011.74645145,1083965.24692864,15.8150479898119,"912",897,1047250021,47642142.7778065
91,1,Kirchenlamitz,"95158","09479",Bayern,"09",Landkreis Wunsiedel i. Fichtelgebirge,"951",48377639.2848563,1691709.44214637,3.49688299626462,"951",93,924750891.8,50140067.9460112
92,1,Köthen,"06366","15082",Sachsen-Anhalt,"15",Landkreis Anhalt-Bitterfeld,"063",26926658.6300214,11125240.8150716,41.316826450452,"063",689,332833926.1,28342703.0403214
93,1,"Droyßig, Wetterzeube","06722","15084",Sachsen-Anhalt,"15",Landkreis Burgenlandkreis,"067",62264989.2814546,2123692.28489295,3.41073259531659,"067",673,285988636.7,26213851.1696548
94,1,Halle/ Saale,"06114","15002",Sachsen-Anhalt,"15",Kreisfreie Stadt Halle (Saale),"061",3123308.20249746,2826009.81083118,90.4812982776228,"061",692,744949250.6,108142239.368358
95,1,Buch a. Buchrain,"85656","09177",Bayern,"09",Landkreis Erding,"856",22777629.2378475,468602.942276021,2.0572946261562,"856",1055,157278639.2,7096882.95878134
96,1,Steinhöring,"85643","09175",Bayern,"09",Landkreis Ebersberg,"856",36300936.4334085,587564.1182287,1.61859217958893,"856",1055,157278639.2,7096882.95878134
97,1,"Meyenburg, Kümmernitztal u.a.","16945","12070",Brandenburg,"12",Landkreis Prignitz,"169",188345224.135349,5661465.04591944,3.00589785162324,"169",869,1410498246,40486566.7011957
98,1,Hohenleuben,"07958","16076",Thüringen,"16",Landkreis Greiz,"079",9702698.78800505,727606.727218309,7.49901386321312,"079",739,917317514.2,48457261.801965
99,1,Etzenricht,"92694","09374",Bayern,"09",Landkreis Neustadt a.d. Waldnaab,"926",13631717.09926,721875.100959586,5.29555517990299,"926",840,13655186.97,721875.100959586
100,1,Nabburg,"92507","09376",Bayern,"09",Landkreis Schwandorf,"925",62373997.0858618,3235886.50856779,5.18787741647113,"925",847,670464561.8,24548306.8429118
101,1,Leuchtenberg,"92705","09374",Bayern,"09",Landkreis Neustadt a.d. Waldnaab,"927",32365227.9203063,253146.079179456,0.782154477029432,"927",835,265880518,9821317.61076487
102,1,Altendorf,"92540","09376",Bayern,"09",Landkreis Schwandorf,"925",23207587.8811903,302019.97960931,1.30138462107945,"925",847,670464561.8,24548306.8429118
103,1,Laberweinting,"84082","09278",Bayern,"09",Landkreis Straubing-Bogen,"840",76221007.6846713,2079371.14468931,2.72808141463011,"840",49,908333420.3,45710167.6238823
104,1,Leipzig,"04207","14713",Sachsen,"14",Kreisfreie Stadt Leipzig,"042",8675944.06919879,4069011.36084957,46.8999261451594,"042",868,111092326.2,40001425.7913761
105,1,"Lalendorf, Langhagen","18279","13072",Mecklenburg-Vorpommern,"13",Landkreis Rostock,"182",139128926.086556,4328819.80650199,3.11137297488295,"182",698,2003127129,74908023.0138011
106,1,Kröning,"84178","09274",Bayern,"09",Landkreis Landshut,"841",39604086.5657457,351315.352023944,0.887068437851066,"841",45,1162506558,52836018.372389
107,1,Oberbergkirchen,"84564","09183",Bayern,"09",Landkreis Mühldorf a. Inn,"845",27524473.0177046,378107.699569337,1.37371458238683,"845",80,142357665.1,5527675.14925815
108,1,Teunz,"92552","09376",Bayern,"09",Landkreis Schwandorf,"925",30649397.8364118,720560.989140072,2.35097926878041,"925",847,670464561.8,24548306.8429118
109,1,Pleystein,"92714","09374",Bayern,"09",Landkreis Neustadt a.d. Waldnaab,"927",42344029.4070416,928568.325183401,2.19291441600262,"927",838,174975706.1,4061530.01609998
110,1,Leipzig,"04279","14713",Sachsen,"14",Kreisfreie Stadt Leipzig,"042",5899794.48853675,2641884.10071691,44.7792563935925,"042",868,111092326.2,40001425.7913761
111,1,Chiemsee,"83256","09187",Bayern,"09",Landkreis Rosenheim,"832",60948849.807413,18051.6973369168,0.029617781785804,"832",135,502801441.5,20359849.257959
112,1,Aham,"84168","09274",Bayern,"09",Landkreis Landshut,"841",37920394.6867626,685152.869115801,1.80681892890471,"841",45,1162506558,52836018.372389
113,1,Dingolfing,"84130","09279",Bayern,"09",Landkreis Dingolfing-Landau,"841",44165074.6213461,10788676.5377317,24.4280727027624,"841",45,1162506558,52836018.372389
114,1,Rötz,"92444","09372",Bayern,"09",Landkreis Cham,"924",66651906.6482333,1356665.93502071,2.03544955162459,"924",849,552403491.6,30663887.118398
115,1,Eilenburg u.a.,"04838","14730",Sachsen,"14",Landkreis Nordsachsen,"048",274375621.490809,18008383.3365019,6.5634050279883,"048",858,1607867724,98757793.0717515
116,1,"Ahrenshagen-Daskow, Trinwillershagen u.a.","18320","13073",Mecklenburg-Vorpommern,"13",Landkreis Vorpommern-Rügen,"183",114390599.532392,2804132.45972046,2.45136617098193,"183",697,749967403.1,24045329.1477747
117,1,Röbel/Müritz,"17207","13071",Mecklenburg-Vorpommern,"13",Landkreis Mecklenburgische Seenplatte,"172",121432274.769442,3840274.50889686,3.16248255761346,"172",719,1301359800,35696965.7465839
118,1,Machern,"04827","14729",Sachsen,"14",Landkreis Leipzig,"048",24886174.2079968,3553343.02940171,14.2783820433913,"048",858,1607867724,98757793.0717515
119,1,Stadlern,"92549","09376",Bayern,"09",Landkreis Schwandorf,"925",10600347.7464335,340013.850084686,3.20757260250339,"925",847,670464561.8,24548306.8429118
120,1,Willmering,"93497","09372",Bayern,"09",Landkreis Cham,"934",10310122.0046201,1107647.74675922,10.7433039712126,"934",50,1157109011,44250822.0268662
121,1,"Torgau, Dreiheide","04860","14730",Sachsen,"14",Landkreis Nordsachsen,"048",90233190.5128868,10326585.6860478,11.4443317667827,"048",858,1607867724,98757793.0717515
122,1,Tann,"84367","09277",Bayern,"09",Landkreis Rottal-Inn,"843",97070162.1753733,2070710.39863099,2.13320999185095,"843",83,953934042.1,37363194.00428
123,1,Crottendorf,"09474","14521",Sachsen,"14",Landkreis Erzgebirgskreis,"094",35235976.3057624,2383202.97567958,6.76355028451371,"094",1123,707280919,64298830.8461426
124,1,Johanniskirchen,"84381","09277",Bayern,"09",Landkreis Rottal-Inn,"843",40513173.1436775,765271.652143766,1.88894523129496,"843",83,953934042.1,37363194.00428
125,1,Patersdorf,"94265","09276",Bayern,"09",Landkreis Regen,"942",17039805.798911,697536.379283713,4.09357000611057,"942",27,937175342.8,28921949.7541465
126,1,Wittibreut,"84384","09277",Bayern,"09",Landkreis Rottal-Inn,"843",38306940.5633219,677720.191272691,1.76918381187976,"843",83,953934042.1,37363194.00428
127,1,"Annaberg-Buchholz, Mildenau","09456","14521",Sachsen,"14",Landkreis Erzgebirgskreis,"094",58805979.8730249,10645266.3680027,18.1023535208292,"094",1123,707280919,64298830.8461426
128,1,Kößlarn,"94149","09275",Bayern,"09",Landkreis Passau,"941",25523320.1234668,758178.575933079,2.97053272170492,"941",1171,102745683.8,2853310.14748605
129,1,Ruhstorf a.d. Rott,"94099","09275",Bayern,"09",Landkreis Passau,"940",51510431.6959081,3055290.78994927,5.93140202743044,"940",1176,395667187.6,24694554.9410554
130,1,Schlieben,"04936","12062",Brandenburg,"12",Landkreis Elbe-Elster,"049",199092454.760506,5753609.341144,2.88991832868061,"049",857,1077933856,63560448.5621393
131,1,Berlin Charlottenburg,"10589","11000",Berlin,"11",Kreisfreie Stadt Berlin,"105",1824223.53590311,1570140.35510044,86.0717080005835,"105",363,12667930.99,10760302.2505113
132,1,Berlin Charlottenburg,"10587","11000",Berlin,"11",Kreisfreie Stadt Berlin,"105",1462141.78128604,1460595.11235872,99.8942189500967,"105",363,12667930.99,10760302.2505113
133,1,Berlin Steglitz,"12163","11000",Berlin,"11",Kreisfreie Stadt Berlin,"121",1346872.46870679,1346872.46870679,100,"121",527,21058918.42,18313265.3611743
134,1,Berlin Moabit,"10551","11000",Berlin,"11",Kreisfreie Stadt Berlin,"105",1004306.08992749,1004306.08992749,100,"105",363,12667930.99,10760302.2505113
135,1,Neuburg a. Inn,"94127","09275",Bayern,"09",Landkreis Passau,"941",41604408.3821894,1545973.36265021,3.71588834637061,"941",1174,72701442.55,3511362.52731158
136,1,Berlin Kreuzberg,"10965","11000",Berlin,"11",Kreisfreie Stadt Berlin,"109",3081851.91948029,1596820.55014999,51.8136689195394,"109",431,12221937.62,9968393.09398461
137,1,Berlin Gesundbrunnen,"13357","11000",Berlin,"11",Kreisfreie Stadt Berlin,"133",2013453.94623096,1849851.49941738,91.8745374275964,"133",824,14180654.22,11112804.1593972
138,1,Perlesreut,"94157","09272",Bayern,"09",Landkreis Freyung-Grafenau,"941",29689453.4431967,825180.560751596,2.77937268980169,"941",1175,914055919.8,30010005.0146957
139,1,Schorfheide,"16244","12060",Brandenburg,"12",Landkreis Barnim,"162",234500849.270073,10540134.4883393,4.4947105825618,"162",888,1644818536,83821482.1930223
140,1,Berlin Friedrichshain,"10243","11000",Berlin,"11",Kreisfreie Stadt Berlin,"102",2855749.08512896,2662437.40700793,93.2307891079201,"102",383,10362989.2,8867982.49297133
141,1,Berlin Neukölln,"12043","11000",Berlin,"11",Kreisfreie Stadt Berlin,"120",711913.427998426,711913.427998426,100,"120",530,15796621.5,11778888.9238026
142,1,Gütersloh,"33335","05754",Nordrhein-Westfalen,"05",Kreis Gütersloh,"333",22657912.1931012,6874487.35377399,30.3403389296703,"333",509,300416027.8,57091164.1558358
143,1,Bielefeld,"33619","05711",Nordrhein-Westfalen,"05",Kreisfreie Stadt Bielefeld,"336",24011894.8368808,5460056.57889272,22.7389658999606,"336",499,180051494,71420758.6343313
144,1,Schwanewede,"28790","03356",Niedersachsen,"03",Landkreis Osterholz,"287",132195882.302749,9965051.81900164,7.53809547273202,"287",896,199620132.6,38471712.4722113
145,1,Bielefeld,"33615","05711",Nordrhein-Westfalen,"05",Kreisfreie Stadt Bielefeld,"336",4975756.04148264,3714613.68442367,74.6542566286433,"336",499,180051494,71420758.6343313
146,1,Wagenfeld,"49419","03251",Niedersachsen,"03",Landkreis Diepholz,"494",117578815.918805,3137882.9656895,2.66874856764709,"494",645,1167426974,60601076.4484255
147,1,Griesheim,"64347","06432",Hessen,"06",Landkreis Darmstadt-Dieburg,"643",22880988.4161936,6500123.55838739,28.4084036937278,"643",1035,282124107.1,45752393.1718637
148,1,Wetzlar,"35582","06532",Hessen,"06",Landkreis Lahn-Dill-Kreis,"355",4998120.5294487,1212038.44280401,24.2498842447423,"355",574,74675743,22120773.9184541
149,1,Bremerhaven,"27576","04012",Bremen,"04",Kreisfreie Stadt Bremerhaven,"275",5709234.21603357,2798782.28026163,49.0220259733196,"275",922,60365396.9,30706673.6152745
150,1,Bad Teinach-Zavelstein,"75385","08235",Baden-Württemberg,"08",Landkreis Calw,"753",25746669.2025867,1364163.90305685,5.29840925178702,"753",1121,546843259.6,43390245.985132
151,1,Bretten,"75015","08215",Baden-Württemberg,"08",Landkreis Karlsruhe,"750",71096328.8782961,9722311.70305024,13.6748434925424,"750",1131,305683829.8,33546320.6254376
152,1,Frankfurt am Main,"60325","06412",Hessen,"06",Kreisfreie Stadt Frankfurt am Main,"603",1229765.60282728,1209046.24027892,98.3151779086419,"603",62,56734318.02,34118033.3634348
153,1,Darmstadt,"64289","06411",Hessen,"06",Kreisfreie Stadt Darmstadt,"642",7284077.21741036,3110546.37631034,42.7033690537427,"642",1037,120890502.2,34736720.7351711
